timestamp,x,y,z
0,-1.91,-1.95,10.01
10,-1.72,-2.04,9.92
20,-1.6,-2.04,9.84
30,-1.63,-1.94,9.87
40,-1.72,-1.77,10.0
50,-1.88,-1.64,10.09
60,-2.0,-1.56,10.11
70,-2.04,-1.55,10.01
80,-2.08,-1.64,9.93
90,-2.17,-1.64,9.93
100,-2.19,-1.58,9.86
110,-2.11,-1.54,9.74
120,-1.97,-1.49,9.59
130,-1.87,-1.45,9.33
140,-1.92,-1.36,9.13
150,-2.15,-1.15,9.19
160,-2.48,-0.9,9.32
170,-2.93,-0.61,9.45
180,-3.31,-0.23,9.61
190,-3.69,-0.01,9.76
200,-4.18,0.0,9.77
210,-4.58,0.03,9.61
220,-4.94,0.08,9.46
230,-5.34,0.2,9.46
240,-5.82,0.33,9.68
250,-6.41,0.53,9.96
260,-7.02,0.83,10.27
270,-7.83,0.97,10.54
280,-8.45,0.98,10.56
290,-8.67,1.01,10.3
300,-8.66,1.1,10.13
310,-8.68,1.24,10.16
320,-8.69,1.42,10.23
330,-8.64,1.61,10.3
340,-8.51,1.75,10.4
350,-8.18,1.87,10.34
360,-7.74,1.96,10.27
370,-7.26,1.92,10.18
380,-6.8,1.86,10.08
390,-6.24,1.76,9.89
400,-5.62,1.65,9.65
410,-5.05,1.52,9.49
420,-4.41,1.38,9.28
430,-3.64,1.34,9.05
440,-2.96,1.34,8.96
450,-2.25,1.41,9.12
460,-1.47,1.42,9.42
470,-0.64,1.46,9.63
480,0.31,1.66,9.84
490,1.13,1.88,10.16
500,2.08,2.0,10.54
510,3.16,2.19,10.83
520,4.23,2.38,11.2
530,5.32,2.57,11.61
540,6.18,2.76,12.1
550,6.87,2.85,12.17
560,7.48,3.02,12.14
570,8.04,3.29,12.33
580,8.5,3.38,12.62
590,8.72,3.39,12.83
600,8.76,3.39,12.73
610,8.89,3.29,12.26
620,9.17,3.18,11.69
630,9.32,3.0,11.2
640,9.28,2.78,10.7
650,8.87,2.51,10.32
660,8.22,2.28,9.87
670,7.7,2.04,9.35
680,7.1,1.7,8.95
690,6.56,1.44,8.61
700,5.9,1.56,8.33
710,5.41,1.36,8.42
720,4.88,1.46,8.2
730,4.53,1.66,7.79
740,4.14,1.68,7.46
750,3.62,1.71,7.03
760,3.08,1.83,6.68
770,2.53,1.65,6.82
780,1.88,1.65,6.97
790,1.36,1.63,7.18
800,0.8,1.8,7.55
810,0.13,2.05,7.85
820,-0.57,2.26,7.89
830,-1.32,2.44,7.9
840,-2.17,2.6,8.08
850,-2.83,2.7,8.35
860,-3.55,2.94,8.5
870,-4.56,3.03,8.59
880,-5.4,3.19,8.55
890,-6.23,3.5,8.41
900,-6.56,4.05,8.34
910,-6.86,4.45,8.61
920,-7.52,4.58,8.96
930,-8.42,4.8,9.42
940,-9.24,5.24,9.73
950,-9.89,5.7,10.07
960,-10.4,6.22,10.65
970,-10.83,6.41,11.07
980,-11.43,6.65,11.1
990,-12.11,6.77,11.12
1000,-12.61,6.84,11.2
