timestamp,x,y,z
0,-3.0,-3.84,9.16
10,-3.02,-3.79,9.15
20,-3.07,-3.77,9.18
30,-3.09,-3.77,9.22
40,-3.14,-3.75,9.25
50,-3.2,-3.74,9.28
60,-3.3,-3.79,9.31
70,-3.36,-3.78,9.29
80,-3.43,-3.78,9.27
90,-3.56,-3.74,9.22
100,-3.77,-3.73,9.23
110,-4.13,-3.69,9.25
120,-4.6,-3.68,9.23
130,-5.13,-3.71,9.18
140,-5.71,-3.71,9.01
150,-6.29,-3.65,8.87
160,-6.96,-3.49,8.76
170,-7.54,-3.3,8.7
180,-8.12,-3.11,8.78
190,-8.98,-3.07,8.87
200,-9.9,-3.02,8.83
210,-10.67,-2.84,8.77
220,-11.18,-2.54,8.73
230,-11.24,-2.28,8.8
240,-11.14,-2.06,8.87
250,-10.92,-1.81,8.83
260,-10.36,-1.57,8.69
270,-9.4,-1.3,8.49
280,-8.12,-0.92,8.2
290,-6.67,-0.57,7.88
300,-5.27,-0.27,7.64
310,-4.01,-0.01,7.67
320,-2.99,0.2,7.89
330,-2.0,0.36,8.16
340,-1.04,0.47,8.48
350,-0.12,0.5,8.92
360,0.88,0.48,9.27
370,1.96,0.43,9.58
380,3.08,0.45,9.82
390,4.07,0.37,9.96
400,4.99,0.24,10.2
410,5.69,0.08,10.47
420,6.33,-0.15,10.67
430,6.85,-0.33,10.92
440,7.19,-0.37,11.36
450,7.34,-0.37,12.04
460,7.4,-0.39,12.63
470,7.67,-0.45,12.87
480,7.88,-0.47,12.85
490,8.08,-0.54,12.76
500,8.15,-0.68,12.57
510,8.08,-0.8,12.43
520,7.7,-0.99,12.35
530,7.35,-1.07,11.92
540,6.98,-1.32,11.64
550,6.64,-1.39,11.42
560,6.29,-1.48,11.25
570,5.85,-1.59,10.89
580,5.52,-1.67,10.29
590,5.29,-1.74,9.62
600,5.07,-1.87,9.08
610,4.87,-2.06,8.67
620,4.67,-2.2,8.23
630,4.43,-2.24,8.0
640,4.23,-2.09,7.81
650,4.04,-1.61,7.85
660,3.77,-0.99,8.27
670,3.41,-0.59,8.84
680,3.06,-0.33,9.22
690,2.8,-0.02,9.5
700,2.58,0.32,9.61
710,2.38,0.61,9.63
720,2.18,0.89,9.5
730,2.0,1.39,9.51
740,1.67,2.17,9.77
750,1.3,2.83,10.2
760,0.82,3.36,10.67
770,0.21,3.77,11.21
780,-0.53,4.12,11.67
790,-1.2,4.42,12.04
800,-1.84,4.51,12.12
810,-2.44,4.36,11.83
820,-2.93,4.2,11.24
830,-3.25,3.95,10.54
840,-3.62,3.62,9.95
850,-4.38,3.37,9.59
860,-4.9,3.47,9.43
870,-5.52,3.66,9.52
880,-6.3,3.83,9.81
890,-7.07,3.87,9.89
900,-7.53,4.05,9.69
910,-7.85,4.36,9.62
920,-8.51,4.67,10.01
930,-9.1,4.98,10.7
940,-9.4,5.0,11.4
950,-9.54,4.83,11.69
960,-9.56,4.6,11.53
970,-9.56,4.71,11.04
980,-9.93,4.88,10.67
990,-10.49,5.05,10.63
1000,-11.03,5.18,10.84
