timestamp,x,y,z
0,-2.49,-0.87,10.72
10,-2.57,-0.86,10.55
20,-2.7,-0.8,10.38
30,-2.91,-0.72,10.25
40,-3.21,-0.69,10.29
50,-3.56,-0.66,10.22
60,-3.85,-0.61,10.03
70,-4.13,-0.6,9.77
80,-4.37,-0.47,9.58
90,-4.79,-0.28,9.58
100,-5.51,-0.18,9.83
110,-6.22,-0.1,9.92
120,-6.69,0.0,9.75
130,-6.96,0.08,9.41
140,-7.2,0.2,9.18
150,-7.59,0.32,9.06
160,-8.18,0.42,9.05
170,-8.71,0.45,8.92
180,-9.02,0.55,8.83
190,-9.25,0.59,8.95
200,-9.44,0.72,9.26
210,-9.57,0.86,9.56
220,-9.44,0.98,9.85
230,-9.16,1.09,10.0
240,-8.6,1.2,9.93
250,-7.77,1.28,9.61
260,-6.62,1.36,9.33
270,-5.38,1.47,9.07
280,-4.13,1.49,8.9
290,-2.93,1.56,8.89
300,-1.82,1.76,9.06
310,-0.69,2.0,9.52
320,0.54,2.32,9.81
330,1.93,2.58,9.74
340,3.27,2.63,9.56
350,4.34,2.5,9.56
360,5.29,2.46,9.7
370,6.03,2.48,10.07
380,6.62,2.54,10.58
390,7.51,2.74,10.92
400,8.09,3.0,10.89
410,8.42,3.19,11.01
420,8.78,3.48,11.08
430,8.94,3.53,11.2
440,9.23,3.44,11.17
450,9.88,3.26,10.69
460,9.9,2.98,10.14
470,9.46,2.59,9.87
480,8.94,2.3,9.67
490,8.53,2.18,9.42
500,8.06,2.05,9.17
510,7.28,1.99,9.13
520,6.83,1.89,9.13
530,6.49,1.92,8.86
540,6.1,2.0,8.58
550,5.63,1.91,8.57
560,5.2,1.97,8.73
570,4.71,1.94,9.24
580,4.03,2.32,9.41
590,3.34,2.59,9.56
600,2.91,2.69,9.82
610,2.42,2.82,10.06
620,1.89,2.89,9.88
630,1.29,3.03,9.3
640,0.6,3.1,8.98
650,-0.06,3.07,9.3
660,-0.81,3.36,9.66
670,-1.78,3.5,10.48
680,-2.93,3.62,11.41
690,-3.99,3.82,12.25
700,-4.93,3.96,12.59
710,-5.82,4.04,12.55
720,-6.54,3.97,12.19
730,-7.02,3.84,11.84
740,-7.07,3.39,11.42
750,-6.7,3.1,11.02
760,-6.2,3.11,10.61
770,-6.03,3.46,10.39
780,-6.3,3.68,10.48
790,-6.63,3.93,10.63
800,-6.94,4.06,11.04
810,-7.07,4.03,11.41
820,-7.0,3.86,11.71
830,-6.73,3.69,11.65
840,-6.62,3.53,11.51
850,-6.52,3.44,11.37
860,-6.57,3.51,10.83
870,-6.66,3.73,10.67
880,-6.84,3.88,10.69
890,-7.07,3.97,10.79
900,-7.09,4.05,10.78
910,-7.08,4.08,10.75
920,-6.94,4.09,10.65
930,-7.0,4.02,10.58
940,-7.2,4.05,10.64
950,-7.3,4.14,10.71
960,-7.49,4.21,10.78
970,-7.75,4.31,10.88
980,-7.98,4.31,10.83
990,-8.17,4.33,10.77
1000,-8.22,4.43,10.81
