timestamp,x,y,z
0,-4.76,-3.77,8.79
10,-4.77,-3.72,8.68
20,-4.79,-3.7,8.51
30,-4.8,-3.71,8.27
40,-4.83,-3.68,8.01
50,-4.87,-3.66,7.68
60,-4.87,-3.67,7.28
70,-4.91,-3.73,6.82
80,-4.98,-3.78,6.43
90,-4.94,-3.81,5.97
100,-4.86,-3.89,5.57
110,-4.8,-3.96,5.06
120,-4.67,-3.98,4.5
130,-4.55,-3.96,3.96
140,-4.43,-3.8,3.41
150,-4.34,-3.63,2.89
160,-4.21,-3.42,2.46
170,-4.22,-3.2,2.16
180,-4.17,-2.92,1.97
190,-4.06,-2.71,1.65
200,-3.96,-2.49,1.31
210,-3.89,-2.19,0.9
220,-3.87,-1.84,0.53
230,-4.04,-1.21,0.29
240,-4.02,-0.49,0.99
250,-4.02,0.19,2.14
260,-4.04,0.68,3.26
270,-4.28,1.4,3.83
280,-4.17,2.44,4.58
290,-4.02,3.53,5.78
300,-3.99,4.18,7.21
310,-4.03,4.42,8.16
320,-4.31,4.44,8.28
330,-4.05,5.05,7.93
340,-3.84,5.67,8.89
350,-3.58,6.46,9.37
360,-3.9,7.18,10.27
370,-4.26,7.74,11.33
380,-4.37,8.38,12.14
390,-4.55,9.11,12.76
400,-4.14,10.17,13.19
410,-3.9,10.75,13.62
420,-3.94,11.21,14.15
430,-4.49,11.64,14.89
440,-5.29,11.86,15.63
450,-5.81,11.79,16.35
460,-6.16,11.51,16.68
470,-6.51,10.97,16.82
480,-6.96,10.31,16.79
490,-7.43,9.72,16.43
500,-7.81,9.39,15.97
510,-8.01,9.21,15.37
520,-7.96,9.22,14.73
530,-7.74,9.32,14.25
540,-7.47,9.53,14.02
550,-7.3,9.9,14.2
560,-7.51,10.34,14.89
570,-7.75,10.44,15.54
580,-7.81,10.38,15.82
590,-7.53,10.34,15.45
600,-7.26,10.37,14.66
610,-6.97,10.18,13.8
620,-6.35,9.81,13.26
630,-5.96,9.29,12.91
640,-5.68,8.81,12.61
650,-5.21,8.41,12.36
660,-4.89,7.99,12.35
670,-4.53,7.57,12.21
680,-4.45,7.23,12.17
690,-4.55,6.98,12.27
700,-4.61,6.86,12.24
710,-4.35,6.68,11.77
720,-3.66,6.1,10.83
730,-2.86,5.0,9.77
740,-2.2,3.54,8.64
750,-1.68,1.96,7.43
760,-1.17,0.73,6.2
770,-0.56,0.02,5.03
780,0.03,-0.48,3.96
790,0.27,-1.06,3.22
800,0.4,-1.59,2.87
810,0.57,-2.13,2.81
820,0.68,-2.61,2.76
830,0.84,-3.01,2.4
840,1.01,-3.48,1.86
850,1.17,-4.02,1.68
860,1.25,-4.5,1.65
870,1.27,-4.83,1.36
880,1.28,-5.26,1.01
890,1.28,-5.67,0.83
900,1.26,-5.97,0.66
910,1.12,-6.24,0.66
920,0.93,-6.39,0.78
930,0.76,-6.55,1.12
940,0.52,-6.8,1.44
950,0.23,-7.02,1.9
960,-0.08,-7.18,2.38
970,-0.4,-7.43,2.82
980,-0.76,-7.6,3.13
990,-1.07,-7.59,3.53
1000,-1.32,-7.52,4.01
