timestamp,x,y,z
0,-3.71,-3.22,6.24
10,-3.55,-3.22,5.88
20,-3.38,-3.2,5.37
30,-3.26,-3.24,4.83
40,-3.22,-3.19,4.29
50,-3.18,-3.15,3.76
60,-3.26,-3.1,3.39
70,-3.39,-3.03,3.06
80,-3.53,-2.9,2.8
90,-3.62,-2.62,2.62
100,-3.72,-2.34,2.45
110,-3.74,-2.04,2.33
120,-3.69,-1.63,2.0
130,-3.62,-1.21,1.71
140,-3.55,-0.91,1.55
150,-3.66,-0.7,1.59
160,-3.81,-0.51,1.74
170,-3.85,-0.28,1.8
180,-3.9,-0.02,1.9
190,-4.0,0.34,1.93
200,-4.1,0.82,1.94
210,-4.25,1.3,2.03
220,-4.41,1.87,2.22
230,-4.44,2.44,2.61
240,-4.33,3.07,3.24
250,-4.15,3.73,3.96
260,-3.84,4.41,4.64
270,-3.51,4.94,5.52
280,-3.34,5.6,6.4
290,-3.38,6.19,7.55
300,-3.9,6.87,9.07
310,-3.97,7.58,10.65
320,-4.23,8.12,12.31
330,-4.39,8.45,13.81
340,-4.6,8.7,14.94
350,-4.38,9.35,15.73
360,-4.05,10.19,16.92
370,-3.34,10.88,17.96
380,-3.72,11.31,19.26
390,-4.16,11.6,20.52
400,-4.92,11.83,21.79
410,-5.16,11.94,22.76
420,-5.37,11.99,22.98
430,-5.66,11.93,22.91
440,-5.27,11.7,23.11
450,-5.24,11.38,24.1
460,-5.13,11.19,25.0
470,-5.44,10.79,24.8
480,-5.66,10.62,23.18
490,-5.67,10.38,20.83
500,-5.6,10.04,19.19
510,-5.77,9.94,18.11
520,-6.21,9.81,17.72
530,-6.7,9.58,17.89
540,-6.92,9.51,18.14
550,-7.06,9.45,18.03
560,-7.09,9.26,17.32
570,-6.82,9.1,16.22
580,-6.12,8.91,14.79
590,-5.38,8.73,13.97
600,-4.61,8.26,13.46
610,-4.32,7.77,13.08
620,-4.12,7.49,12.62
630,-3.94,7.17,12.08
640,-3.6,6.62,11.33
650,-3.23,6.07,10.56
660,-2.62,5.51,9.74
670,-2.2,4.8,9.0
680,-2.16,4.02,8.38
690,-1.96,3.37,7.67
700,-1.69,2.69,6.89
710,-1.44,1.94,6.08
720,-1.08,1.34,5.23
730,-0.7,0.85,4.39
740,-0.36,0.28,3.59
750,-0.09,-0.09,2.74
760,0.09,-0.46,2.02
770,0.12,-0.95,1.65
780,0.21,-1.38,1.58
790,0.25,-1.69,1.55
800,0.35,-2.0,1.45
810,0.58,-2.25,1.34
820,0.83,-2.45,1.27
830,1.14,-2.73,1.09
840,1.5,-3.03,0.83
850,1.59,-3.35,0.56
860,1.53,-3.56,0.45
870,1.38,-3.69,0.56
880,1.02,-3.78,1.21
890,0.56,-4.04,1.97
900,0.07,-4.28,2.77
910,-0.28,-4.44,3.55
920,-0.64,-4.7,4.21
930,-0.86,-4.95,4.66
940,-0.97,-5.11,5.27
950,-0.93,-5.3,5.68
960,-0.93,-5.52,6.3
970,-0.74,-5.52,6.85
980,-0.92,-5.5,7.59
990,-1.42,-5.5,8.48
1000,-1.58,-5.42,9.22
