timestamp,x,y,z
0,-4.01,-4.81,8.86
10,-4.17,-4.75,8.89
20,-4.29,-4.7,8.83
30,-4.26,-4.72,8.71
40,-4.31,-4.68,8.65
50,-4.34,-4.77,8.56
60,-4.51,-4.72,8.33
70,-4.58,-4.7,8.05
80,-4.58,-4.72,7.75
90,-4.54,-4.79,7.29
100,-4.55,-4.84,6.68
110,-4.47,-4.92,6.08
120,-4.47,-4.94,5.45
130,-4.51,-4.94,5.05
140,-4.51,-4.82,4.7
150,-4.71,-5.06,4.78
160,-4.86,-4.96,4.6
170,-4.75,-5.04,4.15
180,-4.68,-5.15,3.68
190,-4.7,-5.2,3.13
200,-4.61,-5.21,2.46
210,-4.57,-5.19,1.72
220,-4.58,-5.18,0.96
230,-4.59,-5.11,0.41
240,-4.48,-4.88,0.04
250,-4.34,-4.53,-0.24
260,-4.21,-4.1,-0.38
270,-4.1,-3.5,-0.4
280,-4.19,-2.69,0.0
290,-4.18,-1.65,0.69
300,-4.21,-0.82,1.29
310,-4.3,-0.03,1.85
320,-4.16,0.76,2.76
330,-4.24,1.47,3.76
340,-4.38,2.0,4.99
350,-4.38,2.51,6.23
360,-4.51,3.06,6.86
370,-4.33,3.45,7.49
380,-4.38,4.13,7.88
390,-4.08,4.97,8.02
400,-3.56,6.12,8.09
410,-3.68,6.99,8.55
420,-4.37,7.76,9.7
430,-4.85,8.3,10.83
440,-4.95,8.24,12.06
450,-5.24,8.15,12.8
460,-4.95,8.71,13.2
470,-4.07,9.21,14.09
480,-3.82,10.03,14.44
490,-3.85,10.59,14.57
500,-4.03,10.92,15.84
510,-4.76,10.66,16.8
520,-4.92,10.77,16.79
530,-4.54,11.02,16.52
540,-4.27,11.18,16.59
550,-4.21,11.1,17.1
560,-4.54,10.86,17.89
570,-4.92,10.35,18.56
580,-5.09,9.89,18.81
590,-5.01,9.45,18.66
600,-4.8,8.93,18.26
610,-4.18,8.7,17.52
620,-3.56,8.49,16.8
630,-3.29,8.48,16.32
640,-3.37,8.35,16.1
650,-4.0,7.96,16.24
660,-4.36,7.68,16.13
670,-4.34,7.54,15.84
680,-4.07,7.19,15.33
690,-3.95,7.0,14.92
700,-3.45,6.67,15.04
710,-3.17,6.59,14.98
720,-2.46,5.7,13.48
730,-1.67,4.98,11.69
740,-0.71,4.03,9.83
750,-0.34,3.25,8.43
760,-0.36,2.49,7.61
770,-0.28,1.6,6.92
780,-0.26,0.73,6.26
790,-0.43,-0.21,5.92
800,-0.72,-0.99,5.55
810,-0.5,-1.42,5.27
820,0.06,-1.78,5.21
830,0.35,-2.12,5.07
840,0.49,-2.66,3.7
850,-0.11,-3.2,3.92
860,-0.18,-3.78,4.31
870,0.04,-4.3,4.24
880,0.22,-4.59,3.46
890,0.19,-4.74,2.94
900,0.1,-4.98,2.76
910,0.05,-5.19,2.42
920,0.07,-5.41,2.09
930,-0.0,-5.74,1.76
940,-0.09,-6.07,1.62
950,-0.15,-6.28,1.73
960,-0.29,-6.43,2.13
970,-0.34,-6.66,2.51
980,-0.28,-6.91,2.75
990,-0.22,-7.12,2.94
1000,-0.23,-7.25,3.17
