timestamp,x,y,z
0,-3.96,-5.15,9.29
10,-4.0,-5.17,9.26
20,-3.96,-5.14,9.11
30,-3.97,-5.08,8.93
40,-4.08,-5.1,8.8
50,-4.06,-5.12,8.7
60,-3.97,-5.14,8.55
70,-3.79,-5.13,8.39
80,-3.54,-5.15,8.06
90,-3.29,-5.13,7.77
100,-3.11,-5.04,7.44
110,-3.02,-4.94,7.15
120,-3.02,-4.87,6.85
130,-3.04,-4.76,6.58
140,-3.03,-4.64,6.36
150,-3.01,-4.51,6.17
160,-3.0,-4.45,5.99
170,-2.93,-4.35,5.79
180,-2.85,-4.19,5.55
190,-2.73,-4.06,5.17
200,-2.58,-3.92,4.56
210,-2.56,-3.81,3.94
220,-2.59,-3.74,3.38
230,-2.68,-3.68,2.82
240,-2.83,-3.56,2.46
250,-3.0,-3.45,2.18
260,-3.12,-3.37,1.89
270,-3.18,-3.33,1.74
280,-3.29,-3.21,1.67
290,-3.46,-2.93,1.58
300,-3.59,-2.67,1.28
310,-3.61,-2.42,0.91
320,-3.63,-2.17,0.65
330,-3.67,-1.86,0.66
340,-3.65,-1.53,0.75
350,-3.69,-1.12,0.9
360,-3.81,-0.61,1.27
370,-4.04,0.05,2.04
380,-4.45,0.86,3.33
390,-4.83,1.73,4.78
400,-5.0,2.49,5.97
410,-5.05,3.16,6.81
420,-4.92,3.71,7.13
430,-4.83,4.21,7.55
440,-4.86,4.75,8.0
450,-5.14,5.34,8.68
460,-5.4,6.1,9.7
470,-5.34,6.95,10.72
480,-5.51,7.69,12.21
490,-6.0,8.03,13.85
500,-6.51,8.16,15.08
510,-6.88,8.3,15.79
520,-6.84,8.53,16.03
530,-6.77,8.85,16.0
540,-6.79,9.12,16.17
550,-6.74,9.35,16.49
560,-6.67,9.42,16.98
570,-6.57,9.19,16.83
580,-6.41,9.01,16.75
590,-6.32,8.95,16.71
600,-6.13,8.97,16.81
610,-5.97,8.97,16.95
620,-5.96,8.93,17.11
630,-6.02,8.83,17.14
640,-5.98,8.86,16.94
650,-5.92,8.8,16.64
660,-5.96,8.67,16.48
670,-6.03,8.6,16.4
680,-6.31,8.55,16.37
690,-6.74,8.58,16.31
700,-7.03,8.67,16.06
710,-7.33,8.81,15.81
720,-7.52,8.85,15.61
730,-7.52,8.83,15.36
740,-7.31,8.85,15.04
750,-6.96,8.76,14.78
760,-6.71,8.6,14.57
770,-6.48,8.55,14.29
780,-6.2,8.68,14.09
790,-5.84,8.7,13.91
800,-5.54,8.54,13.76
810,-4.98,8.36,13.44
820,-4.62,8.04,13.15
830,-4.31,7.66,12.81
840,-3.97,7.24,12.37
850,-3.63,6.66,11.86
860,-3.21,6.09,11.37
870,-2.8,5.43,10.97
880,-2.49,4.59,10.55
890,-2.3,3.74,9.99
900,-1.97,3.01,9.17
910,-1.71,2.32,8.3
920,-1.29,1.67,7.44
930,-0.82,0.93,6.56
940,-0.32,0.2,5.64
950,0.04,-0.5,4.73
960,0.29,-1.09,3.92
970,0.4,-1.54,3.2
980,0.47,-2.01,2.43
990,0.44,-2.43,1.37
1000,0.75,-3.15,1.04
