timestamp,x,y,z
0,-2.05,-2.26,10.41
10,-2.0,-2.3,10.38
20,-1.98,-2.33,10.37
30,-1.98,-2.29,10.4
40,-1.99,-2.27,10.44
50,-1.96,-2.24,10.51
60,-1.96,-2.23,10.53
70,-1.95,-2.23,10.51
80,-1.95,-2.21,10.46
90,-1.97,-2.22,10.39
100,-1.96,-2.22,10.32
110,-1.99,-2.23,10.24
120,-1.99,-2.24,10.15
130,-2.02,-2.3,10.11
140,-2.12,-2.31,10.08
150,-2.25,-2.29,10.06
160,-2.43,-2.25,10.02
170,-2.6,-2.24,9.94
180,-2.77,-2.28,9.81
190,-2.9,-2.31,9.7
200,-3.09,-2.26,9.62
210,-3.35,-2.13,9.8
220,-3.92,-1.99,9.96
230,-4.57,-1.75,10.08
240,-5.11,-1.58,10.23
250,-5.61,-1.47,10.36
260,-6.09,-1.36,10.46
270,-6.62,-1.35,10.61
280,-7.16,-1.32,10.67
290,-7.54,-1.17,10.73
300,-7.86,-1.13,10.76
310,-8.14,-1.07,10.78
320,-8.35,-1.02,10.8
330,-8.51,-1.07,10.77
340,-8.51,-1.13,10.83
350,-8.27,-1.26,10.77
360,-7.84,-1.32,10.71
370,-7.31,-1.37,10.61
380,-6.74,-1.33,10.47
390,-6.09,-1.34,10.4
400,-5.32,-1.4,10.14
410,-4.32,-1.45,9.89
420,-3.43,-1.42,9.74
430,-2.61,-1.26,9.62
440,-1.74,-1.09,9.51
450,-0.81,-1.08,9.39
460,0.18,-1.1,9.16
470,1.38,-0.93,8.84
480,2.37,-0.86,8.65
490,3.41,-0.73,8.53
500,4.35,-0.53,8.59
510,5.11,-0.19,8.74
520,5.77,0.24,8.93
530,6.27,0.56,9.22
540,6.7,0.86,9.48
550,7.08,1.09,9.62
560,7.54,1.28,9.49
570,8.25,1.6,8.88
580,8.47,1.81,8.4
590,8.59,1.79,8.11
600,8.79,1.72,7.7
610,8.47,1.61,7.38
620,7.85,1.52,7.34
630,7.29,1.47,7.55
640,6.91,1.41,7.68
650,6.33,1.33,7.82
660,5.91,1.24,7.77
670,5.63,1.28,7.73
680,5.14,1.17,7.85
690,4.58,0.67,8.44
700,3.77,1.15,8.32
710,2.93,1.34,8.25
720,2.17,1.45,8.5
730,1.3,1.91,9.09
740,0.39,2.42,9.74
750,-0.31,2.98,10.01
760,-1.13,3.32,9.84
770,-2.05,3.47,9.55
780,-2.88,3.42,9.5
790,-3.48,3.18,9.9
800,-4.31,3.03,10.43
810,-4.54,3.09,11.08
820,-5.25,3.25,11.53
830,-6.89,3.44,11.93
840,-8.69,3.62,12.24
850,-9.89,4.13,12.49
860,-11.37,4.25,13.02
870,-11.99,4.34,13.31
880,-12.39,4.55,13.33
890,-12.91,4.43,13.32
900,-13.56,4.33,13.22
910,-13.97,4.49,12.83
920,-14.21,4.7,12.39
930,-14.16,4.83,12.16
940,-13.83,4.79,11.96
950,-13.28,4.49,11.67
960,-12.67,4.1,11.2
970,-11.88,3.82,10.49
980,-11.03,3.61,9.74
990,-10.19,3.53,9.08
1000,-9.56,3.43,8.77
