timestamp,x,y,z
0,-3.57,-2.4,9.98
10,-3.55,-2.41,9.95
20,-3.53,-2.44,10.0
30,-3.54,-2.4,10.03
40,-3.48,-2.39,10.0
50,-3.48,-2.4,9.98
60,-3.49,-2.38,9.89
70,-3.54,-2.34,9.82
80,-3.64,-2.32,9.74
90,-3.75,-2.33,9.67
100,-3.8,-2.31,9.62
110,-3.87,-2.27,9.46
120,-3.88,-2.31,9.29
130,-3.92,-2.32,9.1
140,-3.91,-2.26,9.0
150,-3.9,-2.22,8.91
160,-4.0,-2.15,8.9
170,-4.14,-2.13,8.9
180,-4.26,-2.14,8.86
190,-4.35,-2.15,8.79
200,-4.55,-2.08,8.74
210,-4.81,-2.0,8.81
220,-5.16,-1.92,8.94
230,-5.65,-1.92,9.12
240,-6.19,-1.91,9.33
250,-6.73,-1.85,9.32
260,-7.02,-1.83,9.14
270,-7.21,-1.96,9.04
280,-7.24,-2.05,8.9
290,-7.25,-2.19,8.8
300,-7.21,-2.29,8.62
310,-6.95,-2.41,8.34
320,-6.84,-2.49,8.06
330,-6.93,-2.53,7.8
340,-7.02,-2.54,7.75
350,-7.25,-2.5,7.92
360,-7.42,-2.36,8.26
370,-7.59,-2.1,8.68
380,-7.77,-1.76,9.1
390,-7.6,-1.49,9.14
400,-6.81,-1.27,8.69
410,-5.68,-1.07,8.14
420,-4.77,-0.85,7.86
430,-4.2,-0.76,8.0
440,-3.65,-0.65,8.54
450,-3.17,-0.55,9.08
460,-2.27,-0.39,9.44
470,-1.33,-0.29,9.46
480,-0.31,-0.19,9.41
490,0.6,-0.07,9.57
500,1.23,0.16,9.77
510,1.8,0.56,10.09
520,2.57,0.95,10.31
530,3.44,1.19,10.52
540,4.38,1.49,10.7
550,5.29,1.93,10.76
560,6.03,2.36,10.85
570,6.61,2.61,11.0
580,7.25,2.7,11.14
590,7.49,2.63,11.02
600,7.44,2.62,10.72
610,7.39,2.66,10.59
620,7.53,2.72,10.42
630,7.82,2.75,10.24
640,8.08,2.79,10.05
650,8.04,2.86,9.82
660,7.93,2.92,9.57
670,7.82,2.85,9.34
680,7.66,2.79,9.14
690,7.43,2.77,8.91
700,7.08,2.76,8.87
710,6.56,2.83,8.81
720,5.95,2.74,8.86
730,5.3,2.68,8.98
740,4.67,2.67,9.05
750,3.81,2.51,8.94
760,2.92,2.66,8.94
770,1.98,2.78,9.31
780,1.08,2.81,9.73
790,0.47,2.84,10.09
800,0.03,2.99,10.46
810,-0.26,3.04,10.87
820,-0.67,3.31,10.93
830,-1.14,3.89,10.5
840,-1.89,4.4,9.8
850,-3.1,4.7,9.45
860,-3.94,4.89,9.68
870,-4.37,4.91,10.27
880,-4.84,5.02,10.78
890,-5.46,5.11,10.89
900,-6.05,5.2,11.02
910,-7.08,5.12,11.25
920,-8.27,4.68,11.78
930,-8.72,4.13,11.99
940,-8.37,4.1,11.53
950,-8.23,4.19,10.88
960,-8.63,4.12,10.22
970,-9.32,3.95,9.86
980,-9.68,3.88,9.81
990,-10.09,3.83,10.25
1000,-10.6,3.73,10.91
