timestamp,x,y,z
0,-2.54,-5.65,9.39
10,-2.54,-5.56,9.39
20,-2.5,-5.51,9.39
30,-2.38,-5.45,9.33
40,-2.42,-5.32,9.3
50,-2.47,-5.24,9.25
60,-2.4,-5.17,9.11
70,-2.39,-5.02,8.8
80,-2.37,-4.93,8.49
90,-2.33,-4.81,8.18
100,-2.42,-4.72,7.75
110,-2.52,-4.64,7.35
120,-2.57,-4.58,7.15
130,-2.62,-4.49,6.89
140,-2.65,-4.4,6.6
150,-2.6,-4.31,6.23
160,-2.53,-4.2,5.85
170,-2.5,-4.02,5.38
180,-2.39,-3.82,4.85
190,-2.34,-3.66,4.19
200,-2.31,-3.49,3.45
210,-2.26,-3.39,2.86
220,-2.22,-3.28,2.37
230,-2.26,-3.05,1.84
240,-2.32,-2.79,1.5
250,-2.51,-2.54,1.29
260,-2.67,-2.19,1.06
270,-2.79,-1.79,0.83
280,-2.89,-1.51,0.79
290,-2.92,-1.35,0.73
300,-2.99,-1.34,1.03
310,-3.02,-1.18,1.55
320,-2.98,-0.64,2.66
330,-3.08,-0.22,3.44
340,-3.16,0.26,4.3
350,-3.29,0.83,5.3
360,-3.52,1.41,6.17
370,-3.82,1.98,7.17
380,-4.33,2.33,8.55
390,-4.93,2.45,9.92
400,-5.34,2.71,11.09
410,-5.33,3.22,12.52
420,-5.64,3.53,13.34
430,-4.92,4.63,13.81
440,-4.23,5.62,14.95
450,-4.28,6.26,16.76
460,-4.35,6.39,17.93
470,-4.27,6.82,18.87
480,-4.22,7.31,19.93
490,-3.74,7.7,20.93
500,-3.32,8.06,21.92
510,-2.75,8.2,23.07
520,-2.4,8.41,23.26
530,-2.0,7.97,23.36
540,-2.18,7.8,23.18
550,-2.09,7.47,22.69
560,-1.76,7.08,21.98
570,-1.36,6.74,21.3
580,-1.19,6.41,20.82
590,-1.35,6.22,20.64
600,-1.86,6.19,20.68
610,-2.36,6.19,20.74
620,-2.53,6.21,20.55
630,-2.55,6.1,19.88
640,-2.43,5.82,18.78
650,-2.25,5.44,17.58
660,-1.9,5.05,16.44
670,-1.67,4.47,15.46
680,-1.51,3.81,14.68
690,-1.35,3.16,13.84
700,-1.24,2.6,12.97
710,-1.17,2.05,11.91
720,-0.82,1.57,10.74
730,-0.34,1.21,9.6
740,0.17,0.78,8.27
750,0.29,0.33,7.07
760,0.56,-0.11,5.93
770,0.8,-0.6,4.95
780,0.97,-1.08,4.0
790,1.03,-1.55,3.33
800,0.69,-1.76,2.59
810,1.14,-2.14,2.47
820,1.35,-2.55,2.23
830,1.48,-2.9,2.18
840,1.67,-3.1,1.94
850,1.82,-3.26,1.65
860,2.03,-3.45,1.34
870,1.79,-3.56,0.85
880,1.54,-3.76,0.55
890,1.54,-4.0,0.37
900,1.53,-4.3,0.34
910,1.39,-4.57,0.57
920,1.24,-4.8,0.9
930,1.08,-4.98,1.33
940,0.88,-5.19,1.69
950,0.64,-5.48,2.01
960,0.4,-5.83,2.35
970,0.16,-6.15,2.83
980,0.27,-6.28,3.72
990,-0.34,-6.54,4.3
1000,-0.74,-6.71,4.84
