timestamp,x,y,z
0,-4.81,-3.15,6.38
10,-4.78,-3.08,6.12
20,-4.7,-3.0,5.88
30,-4.57,-2.92,5.63
40,-4.46,-2.81,5.31
50,-4.33,-2.66,4.98
60,-4.17,-2.57,4.54
70,-4.01,-2.57,4.14
80,-3.88,-2.66,3.81
90,-3.73,-2.72,3.55
100,-3.64,-2.72,3.34
110,-3.61,-2.72,3.16
120,-3.59,-2.61,2.98
130,-3.66,-2.43,2.96
140,-3.75,-2.13,3.07
150,-3.79,-1.85,3.23
160,-3.81,-1.58,3.36
170,-3.79,-1.31,3.41
180,-3.75,-1.06,3.4
190,-3.7,-0.9,3.53
200,-3.62,-0.67,3.87
210,-3.52,-0.42,4.18
220,-3.47,-0.17,4.56
230,-3.47,0.18,5.16
240,-3.6,0.6,6.0
250,-3.69,1.19,7.07
260,-3.68,1.85,8.01
270,-3.56,2.4,8.76
280,-3.48,2.8,9.16
290,-3.4,3.15,9.57
300,-3.0,3.75,10.05
310,-2.82,4.41,11.04
320,-2.88,5.0,12.76
330,-3.12,5.5,15.03
340,-3.39,5.99,17.37
350,-3.51,6.52,19.15
360,-3.37,7.12,20.28
370,-3.16,7.49,20.85
380,-2.79,7.74,21.01
390,-2.51,7.76,21.12
400,-2.22,7.82,21.42
410,-2.09,7.78,22.16
420,-2.18,7.66,23.0
430,-2.4,7.33,23.54
440,-2.56,6.99,23.52
450,-2.46,6.75,22.86
460,-2.48,6.54,21.96
470,-2.27,6.37,20.98
480,-2.23,6.33,20.43
490,-2.34,6.23,20.38
500,-2.43,6.01,20.33
510,-2.47,5.75,19.88
520,-2.39,5.5,19.35
530,-2.18,5.33,18.41
540,-2.09,5.0,17.38
550,-1.97,4.59,16.29
560,-1.57,4.31,14.93
570,-1.41,3.95,13.92
580,-1.06,3.44,13.04
590,-1.11,2.84,12.23
600,-1.05,2.27,11.28
610,-0.91,1.82,10.34
620,-0.79,1.42,9.41
630,-0.58,0.98,8.46
640,-0.45,0.63,7.73
650,-0.4,0.24,7.2
660,-0.34,-0.15,6.59
670,-0.2,-0.55,5.94
680,0.0,-1.0,5.34
690,0.2,-1.42,4.87
700,0.41,-1.82,4.41
710,0.6,-2.19,3.88
720,0.76,-2.5,3.48
730,0.96,-2.69,3.16
740,1.07,-2.93,2.94
750,1.19,-3.18,2.81
760,1.33,-3.43,2.72
770,1.43,-3.71,2.61
780,1.5,-3.95,2.49
790,1.6,-4.2,2.4
800,1.66,-4.38,2.41
810,1.69,-4.49,2.55
820,1.68,-4.58,2.75
830,1.55,-4.67,3.06
840,1.36,-4.74,3.46
850,1.12,-4.79,4.05
860,0.77,-5.03,4.73
870,0.43,-5.26,5.23
880,0.16,-5.39,5.64
890,-0.12,-5.53,6.07
900,-0.35,-5.62,6.44
910,-0.53,-5.67,6.69
920,-0.76,-5.65,7.03
930,-0.89,-5.56,7.41
940,-1.24,-5.57,8.0
950,-1.57,-5.59,8.65
960,-1.7,-5.57,9.26
970,-1.74,-5.58,9.73
980,-1.76,-5.63,10.15
990,-1.71,-5.66,10.44
1000,-1.63,-5.64,10.62
