timestamp,x,y,z
0,-4.27,-4.36,8.16
10,-4.36,-4.3,8.04
20,-4.42,-4.26,7.9
30,-4.46,-4.19,7.7
40,-4.53,-4.13,7.48
50,-4.54,-4.08,7.28
60,-4.51,-4.05,7.04
70,-4.44,-4.02,6.63
80,-4.29,-3.96,6.2
90,-4.15,-3.9,5.8
100,-4.1,-3.85,5.54
110,-3.97,-3.73,5.27
120,-3.92,-3.48,4.91
130,-3.88,-3.26,4.4
140,-3.85,-3.07,3.91
150,-3.79,-2.91,3.42
160,-3.72,-2.71,2.92
170,-3.65,-2.51,2.56
180,-3.67,-2.33,2.35
190,-3.66,-2.15,2.21
200,-3.63,-1.92,1.97
210,-3.66,-1.69,1.8
220,-3.64,-1.33,1.57
230,-3.6,-0.89,1.58
240,-3.54,-0.44,1.65
250,-3.55,0.04,1.87
260,-3.6,0.4,2.37
270,-3.68,0.84,3.05
280,-3.74,1.4,3.68
290,-3.89,1.97,4.53
300,-3.98,2.53,5.35
310,-4.0,3.01,6.18
320,-4.24,3.41,7.13
330,-4.66,4.04,8.26
340,-5.06,4.92,9.2
350,-5.41,5.97,10.46
360,-5.64,7.05,11.82
370,-5.86,7.76,12.71
380,-6.63,8.16,13.6
390,-7.32,8.1,14.25
400,-7.61,8.09,14.5
410,-7.38,8.39,14.6
420,-7.01,8.66,14.57
430,-6.84,9.01,14.33
440,-6.45,9.28,14.16
450,-6.53,9.4,14.36
460,-6.67,9.39,14.56
470,-6.92,9.42,14.71
480,-6.82,9.51,14.75
490,-6.59,9.71,14.78
500,-6.36,9.72,14.74
510,-6.36,9.54,14.92
520,-6.51,9.23,15.1
530,-6.91,8.97,15.13
540,-7.01,8.9,14.93
550,-7.13,8.98,14.74
560,-7.04,9.15,14.33
570,-7.35,9.26,14.17
580,-7.52,9.21,13.95
590,-7.97,9.2,13.97
600,-7.86,9.28,14.04
610,-7.76,9.27,14.13
620,-7.89,9.16,14.2
630,-8.01,8.95,14.09
640,-7.85,8.64,13.79
650,-7.61,8.25,13.6
660,-7.28,7.79,13.48
670,-7.03,7.3,13.18
680,-6.66,6.86,12.88
690,-6.27,6.46,12.84
700,-5.96,5.69,12.62
710,-5.45,4.87,11.94
720,-4.77,4.18,11.28
730,-4.02,3.61,10.67
740,-3.51,3.18,10.18
750,-3.19,2.69,9.76
760,-2.81,2.2,9.16
770,-2.16,1.7,8.28
780,-1.47,1.03,7.32
790,-0.79,0.23,6.35
800,-0.18,-0.62,5.31
810,0.34,-1.28,4.51
820,0.66,-1.84,3.82
830,0.84,-2.33,3.1
840,1.02,-2.56,2.41
850,1.38,-2.9,2.44
860,1.51,-3.32,2.29
870,1.81,-3.95,2.4
880,1.81,-4.16,2.29
890,1.91,-4.44,2.24
900,2.27,-4.61,2.55
910,1.92,-4.3,1.99
920,1.96,-4.56,1.83
930,1.85,-4.85,1.59
940,1.75,-4.97,1.6
950,1.6,-5.17,1.79
960,1.39,-5.48,2.01
970,1.16,-5.76,2.21
980,0.87,-6.01,2.35
990,0.48,-6.13,2.62
1000,0.15,-6.19,3.06
