timestamp,x,y,z
0,-5.05,-3.2,6.76
10,-5.29,-3.06,6.6
20,-5.51,-2.95,6.4
30,-5.47,-2.79,6.11
40,-5.39,-2.54,5.74
50,-5.26,-2.29,5.39
60,-5.12,-2.07,4.97
70,-5.03,-1.81,4.5
80,-5.02,-1.55,3.99
90,-5.07,-1.36,3.45
100,-5.17,-1.29,2.92
110,-5.2,-1.26,2.48
120,-5.15,-1.19,2.11
130,-4.98,-1.11,1.72
140,-4.66,-1.04,1.24
150,-4.24,-1.02,0.73
160,-3.8,-1.07,0.12
170,-3.29,-1.09,-0.22
180,-2.92,-1.01,-0.59
190,-2.95,-0.7,-0.81
200,-3.21,-0.25,-0.57
210,-3.65,0.3,0.31
220,-4.0,0.85,1.84
230,-4.36,1.48,3.46
240,-4.55,1.94,4.81
250,-4.42,2.13,5.66
260,-4.09,2.59,6.04
270,-3.79,3.29,6.6
280,-3.57,4.12,7.67
290,-3.51,5.04,9.26
300,-3.28,5.97,11.51
310,-3.15,6.43,13.66
320,-3.31,6.79,15.26
330,-3.79,6.93,16.6
340,-4.17,7.04,17.43
350,-3.79,7.54,17.63
360,-3.53,7.76,17.79
370,-3.32,7.85,17.86
380,-3.02,7.9,18.12
390,-2.75,8.03,18.56
400,-2.87,8.04,19.4
410,-3.26,7.98,20.23
420,-3.62,7.91,20.84
430,-4.05,8.02,21.29
440,-4.19,8.27,21.64
450,-4.41,8.49,22.01
460,-4.66,8.82,22.4
470,-4.77,9.28,22.63
480,-4.84,9.68,22.85
490,-4.98,9.85,23.13
500,-5.05,9.91,23.03
510,-4.89,9.94,22.49
520,-4.68,9.8,21.86
530,-4.38,9.51,21.18
540,-4.07,9.28,20.36
550,-4.01,9.0,19.64
560,-3.94,8.51,18.77
570,-3.61,7.97,17.5
580,-3.09,7.38,15.83
590,-2.48,6.61,14.08
600,-1.89,5.57,12.39
610,-1.24,4.57,10.54
620,-0.4,3.51,8.84
630,0.39,2.5,7.47
640,0.94,1.77,6.56
650,1.24,1.19,5.85
660,1.46,0.63,5.14
670,1.64,0.12,4.5
680,1.72,-0.33,3.85
690,1.84,-0.79,3.17
700,1.92,-1.23,2.53
710,1.85,-1.58,1.82
720,1.51,-1.98,1.17
730,1.71,-2.0,0.76
740,1.77,-2.1,0.44
750,1.94,-2.49,0.19
760,2.1,-2.88,0.09
770,2.19,-3.19,-0.18
780,2.3,-3.47,-0.17
790,2.33,-3.9,-0.12
800,2.19,-4.27,0.0
810,2.07,-4.58,0.31
820,1.81,-4.99,0.75
830,1.4,-5.44,1.15
840,0.93,-5.84,1.57
850,0.45,-6.21,2.02
860,-0.05,-6.6,2.45
870,-0.49,-6.95,2.81
880,-0.85,-7.12,3.18
890,-1.16,-7.24,3.6
900,-1.44,-7.42,4.11
910,-1.73,-7.55,4.63
920,-2.02,-7.66,5.13
930,-2.29,-7.78,5.58
940,-2.48,-7.8,6.06
950,-2.32,-7.68,6.45
960,-2.24,-7.55,7.11
970,-2.72,-7.48,8.12
980,-2.94,-7.33,8.87
990,-2.84,-7.14,9.46
1000,-2.65,-6.89,9.85
