timestamp,x,y,z
0,-5.25,-3.85,8.12
10,-5.17,-3.74,7.81
20,-5.03,-3.63,7.46
30,-4.93,-3.53,7.28
40,-4.83,-3.46,7.12
50,-4.69,-3.33,6.89
60,-4.55,-3.21,6.44
70,-4.41,-3.13,5.98
80,-4.27,-3.09,5.52
90,-4.2,-3.05,5.02
100,-4.1,-3.04,4.52
110,-4.03,-3.03,3.91
120,-3.97,-2.96,3.07
130,-3.89,-2.87,2.16
140,-3.92,-2.75,1.46
150,-3.92,-2.58,1.0
160,-3.97,-2.34,0.74
170,-3.87,-2.1,0.68
180,-3.82,-1.88,0.69
190,-3.8,-1.7,0.79
200,-3.8,-1.5,0.69
210,-3.85,-1.24,0.66
220,-3.81,-0.93,0.56
230,-3.79,-0.61,0.44
240,-3.77,-0.3,0.6
250,-3.84,0.11,1.38
260,-3.89,0.75,2.57
270,-3.81,1.4,3.8
280,-3.91,2.05,5.02
290,-3.95,2.55,5.87
300,-3.97,2.97,6.5
310,-4.1,3.47,7.3
320,-4.31,4.07,8.15
330,-4.8,4.51,9.54
340,-4.42,5.01,10.64
350,-4.06,5.58,11.66
360,-3.92,6.1,12.73
370,-4.19,6.41,13.81
380,-3.98,6.96,14.39
390,-3.4,7.7,14.86
400,-3.13,8.19,15.57
410,-3.07,8.57,16.49
420,-2.93,8.96,17.63
430,-3.19,9.32,18.8
440,-4.02,9.35,20.14
450,-4.91,9.55,20.96
460,-5.36,9.96,21.67
470,-5.29,10.28,22.0
480,-4.59,10.41,22.17
490,-3.9,10.4,22.27
500,-3.34,10.23,22.3
510,-3.11,10.1,22.41
520,-2.89,9.84,22.8
530,-3.14,9.7,22.89
540,-3.12,9.61,22.23
550,-2.84,9.51,21.2
560,-2.4,9.17,20.3
570,-2.07,8.75,19.62
580,-1.79,8.31,19.17
590,-1.49,7.83,18.6
600,-1.3,7.4,18.07
610,-1.05,7.12,17.35
620,-0.83,6.76,16.29
630,-0.44,6.19,15.0
640,-0.04,5.59,13.8
650,0.25,4.85,12.67
660,0.44,4.07,11.56
670,0.36,3.42,10.36
680,0.54,2.78,9.06
690,0.63,2.23,7.99
700,0.83,1.73,7.16
710,0.86,1.31,6.39
720,0.83,0.98,5.8
730,0.82,0.56,5.15
740,0.74,0.13,4.42
750,0.98,-0.27,3.7
760,1.2,-0.71,3.06
770,1.21,-1.2,2.55
780,0.97,-1.59,2.01
790,0.81,-2.07,1.78
800,0.7,-2.54,1.63
810,0.61,-3.0,1.52
820,0.46,-3.34,1.44
830,0.4,-3.64,1.4
840,0.33,-4.01,1.41
850,0.2,-4.33,1.31
860,0.03,-4.53,1.27
870,-0.13,-4.73,1.39
880,-0.31,-5.07,1.6
890,-0.45,-5.49,1.71
900,-0.64,-5.77,1.83
910,-0.83,-6.07,1.96
920,-0.98,-6.32,2.13
930,-1.15,-6.51,2.27
940,-1.19,-6.64,2.63
950,-1.2,-6.67,3.18
960,-1.31,-6.69,3.76
970,-1.51,-6.67,4.33
980,-1.67,-6.72,4.88
990,-1.9,-6.81,5.39
1000,-2.1,-6.92,5.81
