timestamp,x,y,z
0,1.52,-1.72,8.16
10,1.59,-1.58,8.32
20,1.7,-1.48,8.53
30,1.88,-1.37,8.66
40,2.15,-1.3,8.63
50,2.45,-1.23,8.6
60,2.66,-1.02,8.77
70,2.82,-0.64,9.29
80,2.95,-0.27,9.89
90,3.07,0.02,10.3
100,3.23,0.24,10.54
110,3.53,0.41,10.71
120,3.91,0.56,10.85
130,4.23,0.83,11.15
140,4.58,1.07,11.73
150,4.64,1.43,12.37
160,5.05,1.76,12.84
170,5.38,2.11,13.14
180,5.51,2.43,13.57
190,5.39,2.83,14.21
200,5.16,3.2,15.01
210,4.87,3.36,15.79
220,4.56,3.48,16.47
230,4.19,3.66,17.01
240,3.7,3.74,17.57
250,3.19,3.74,17.93
260,2.71,3.71,18.08
270,2.1,3.44,18.24
280,1.49,3.18,18.27
290,0.86,2.92,18.33
300,0.31,2.68,18.24
310,-0.17,2.52,18.05
320,-0.7,2.4,17.75
330,-1.34,2.36,17.54
340,-1.91,2.36,17.42
350,-2.48,2.29,17.13
360,-3.08,2.11,16.64
370,-3.48,1.87,16.04
380,-3.72,1.66,15.28
390,-3.97,1.48,14.46
400,-4.26,1.3,13.65
410,-4.69,1.08,12.94
420,-5.0,0.85,12.19
430,-5.32,0.59,11.43
440,-5.47,0.31,10.63
450,-5.68,0.13,9.83
460,-5.75,-0.1,9.0
470,-5.71,-0.34,8.15
480,-5.6,-0.55,7.27
490,-5.43,-0.74,6.44
500,-5.24,-0.97,5.75
510,-5.01,-1.23,5.1
520,-4.8,-1.51,4.45
530,-4.55,-1.76,3.82
540,-4.25,-2.07,3.16
550,-3.89,-2.32,2.59
560,-3.59,-2.54,2.16
570,-3.3,-2.8,1.86
580,-3.01,-2.89,1.63
590,-2.55,-3.01,1.53
600,-2.07,-3.01,1.54
610,-1.62,-3.0,1.69
620,-1.2,-2.95,1.79
630,-0.81,-2.9,1.85
640,-0.34,-2.78,1.87
650,0.2,-2.64,1.98
660,0.73,-2.48,2.22
670,1.33,-2.28,2.56
680,2.05,-2.12,2.88
690,2.78,-1.97,3.06
700,3.38,-1.7,3.38
710,3.75,-1.31,3.9
720,4.04,-0.9,4.81
730,4.24,-0.46,5.98
740,4.44,0.05,7.28
750,4.66,0.47,8.33
760,4.9,0.78,9.01
770,5.07,1.1,9.4
780,5.39,1.39,9.8
790,5.59,1.69,10.27
800,5.63,2.06,10.89
810,5.68,2.32,11.64
820,5.61,2.5,12.43
830,5.56,2.71,13.24
840,5.52,2.79,14.07
850,5.51,2.89,14.64
860,5.78,3.06,15.03
870,5.91,3.25,15.31
880,5.84,3.29,15.69
890,5.59,3.25,16.0
900,5.23,3.2,16.37
910,4.5,3.26,16.91
920,3.6,3.37,17.86
930,2.69,3.42,18.78
940,2.03,3.33,19.33
950,1.87,3.27,19.35
960,2.09,3.31,18.84
970,2.33,3.13,18.39
980,2.13,3.01,18.11
990,1.72,2.82,18.15
1000,1.15,2.85,18.3
