timestamp,x,y,z
0,2.94,-0.27,10.36
10,2.97,-0.27,10.33
20,2.98,-0.32,10.31
30,2.94,-0.34,10.32
40,2.94,-0.39,10.38
50,2.96,-0.42,10.41
60,2.97,-0.45,10.47
70,2.98,-0.51,10.49
80,2.98,-0.54,10.58
90,3.09,-0.56,10.69
100,3.27,-0.57,10.8
110,3.45,-0.63,11.03
120,3.65,-0.67,11.28
130,3.85,-0.69,11.53
140,4.02,-0.72,11.9
150,4.17,-0.71,12.29
160,4.29,-0.68,12.69
170,4.38,-0.67,13.1
180,4.47,-0.65,13.47
190,4.48,-0.6,13.88
200,4.38,-0.51,14.39
210,4.25,-0.4,14.85
220,4.1,-0.34,15.2
230,3.88,-0.21,15.42
240,3.55,-0.01,15.57
250,3.23,0.09,15.77
260,2.68,0.3,15.93
270,2.1,0.35,16.09
280,1.55,0.34,16.09
290,1.08,0.21,15.79
300,0.64,0.05,15.35
310,0.12,-0.06,14.92
320,-0.27,-0.18,14.58
330,-0.62,-0.2,14.07
340,-1.06,-0.29,13.47
350,-1.32,-0.33,12.82
360,-1.5,-0.38,12.06
370,-1.63,-0.51,11.27
380,-1.67,-0.63,10.39
390,-1.64,-0.77,9.46
400,-1.58,-0.91,8.58
410,-1.58,-1.06,7.81
420,-1.67,-1.16,7.1
430,-1.74,-1.3,6.45
440,-1.82,-1.4,5.85
450,-1.84,-1.5,5.34
460,-1.78,-1.61,4.79
470,-1.63,-1.66,4.24
480,-1.44,-1.71,3.82
490,-1.23,-1.73,3.41
500,-1.04,-1.79,3.09
510,-0.8,-1.84,2.8
520,-0.6,-1.97,2.48
530,-0.33,-2.09,2.16
540,0.02,-2.23,1.87
550,0.33,-2.43,1.65
560,0.63,-2.54,1.57
570,0.9,-2.61,1.7
580,1.13,-2.59,1.93
590,1.45,-2.48,2.18
600,1.84,-2.34,2.33
610,2.33,-2.15,2.52
620,2.86,-1.87,2.79
630,3.42,-1.57,3.29
640,4.0,-1.25,3.87
650,4.66,-1.08,4.38
660,5.35,-0.99,4.78
670,5.99,-0.9,5.21
680,6.52,-0.65,5.8
690,7.07,-0.55,6.6
700,7.55,-0.38,7.45
710,7.99,-0.19,8.33
720,8.34,-0.09,9.19
730,8.58,0.05,10.0
740,8.82,0.43,10.81
750,9.03,0.7,11.6
760,9.11,0.99,12.23
770,9.22,1.37,12.92
780,9.22,1.64,13.72
790,9.07,1.86,14.63
800,8.84,2.09,15.52
810,8.52,2.31,16.32
820,8.28,2.58,16.99
830,8.23,2.82,17.42
840,8.33,2.89,17.46
850,8.25,2.86,17.37
860,7.98,2.87,17.43
870,7.61,2.91,17.5
880,6.88,2.94,17.65
890,6.14,2.86,17.75
900,5.38,2.75,17.81
910,4.58,2.5,17.65
920,3.89,2.23,17.28
930,3.36,1.96,16.81
940,2.84,1.72,16.42
950,2.32,1.58,16.14
960,1.72,1.51,16.06
970,0.98,1.54,16.09
980,0.47,1.62,16.12
990,0.06,1.56,16.0
1000,-0.23,1.51,15.66
