timestamp,x,y,z
0,-1.32,-2.08,10.18
10,-1.39,-2.08,10.17
20,-1.44,-2.05,10.17
30,-1.47,-1.99,10.12
40,-1.46,-1.93,10.12
50,-1.44,-1.9,10.02
60,-1.39,-1.91,9.89
70,-1.36,-1.93,9.78
80,-1.34,-1.95,9.66
90,-1.36,-1.98,9.51
100,-1.38,-1.98,9.34
110,-1.39,-1.96,9.2
120,-1.39,-1.99,8.88
130,-1.25,-2.11,8.56
140,-1.11,-2.08,8.22
150,-1.05,-2.11,7.94
160,-0.91,-2.06,7.85
170,-0.74,-1.91,7.7
180,-0.45,-1.83,7.59
190,-0.24,-1.69,7.53
200,0.12,-1.57,7.27
210,0.42,-1.51,7.1
220,0.83,-1.27,6.89
230,1.1,-1.15,6.85
240,1.61,-1.09,7.21
250,1.97,-0.66,7.64
260,2.33,-0.31,8.23
270,2.71,0.12,8.98
280,3.05,0.63,9.8
290,3.34,1.16,10.71
300,3.63,1.49,11.79
310,3.78,1.86,13.08
320,3.83,2.32,14.49
330,3.91,2.71,16.05
340,3.97,3.03,17.52
350,4.06,3.31,18.58
360,4.17,3.5,19.21
370,4.26,3.51,19.48
380,4.14,3.54,19.64
390,3.56,3.51,19.86
400,2.43,3.49,20.41
410,0.91,3.62,21.11
420,-0.5,3.7,21.87
430,-1.82,3.96,22.55
440,-3.06,3.64,22.53
450,-3.98,3.34,22.15
460,-4.86,3.13,21.35
470,-5.44,2.8,20.46
480,-5.94,2.53,19.58
490,-6.36,2.56,18.86
500,-6.44,2.33,17.93
510,-6.57,2.37,17.05
520,-6.72,2.42,16.04
530,-6.87,2.45,14.99
540,-7.06,2.33,13.98
550,-7.08,1.97,12.82
560,-6.95,1.64,11.56
570,-6.81,1.34,10.39
580,-6.63,1.03,9.32
590,-6.53,0.76,8.43
600,-6.39,0.53,7.64
610,-6.38,0.31,7.0
620,-6.14,0.07,6.3
630,-6.12,-0.29,5.7
640,-6.09,-0.52,5.2
650,-6.0,-0.61,4.64
660,-5.73,-0.76,4.13
670,-5.44,-0.85,3.43
680,-5.11,-1.0,2.78
690,-4.76,-1.26,2.19
700,-4.45,-1.51,1.69
710,-4.01,-1.77,1.25
720,-3.49,-2.01,0.7
730,-3.03,-2.18,0.33
740,-2.63,-2.41,0.02
750,-2.38,-2.53,-0.08
760,-1.93,-2.67,0.04
770,-1.68,-2.9,0.23
780,-1.43,-3.06,0.35
790,-1.24,-3.17,0.55
800,-0.94,-3.29,0.52
810,-0.66,-3.42,0.48
820,-0.31,-3.53,0.4
830,0.1,-3.64,0.28
840,0.51,-3.65,0.44
850,0.92,-3.56,0.87
860,1.3,-3.49,1.42
870,1.71,-3.39,1.92
880,2.15,-3.17,2.37
890,2.58,-2.99,2.81
900,3.26,-2.79,3.11
910,3.9,-2.61,3.27
920,4.48,-2.52,3.64
930,5.0,-2.19,4.31
940,5.48,-1.71,5.29
950,5.84,-1.24,6.38
960,6.05,-0.77,7.53
970,6.36,-0.4,8.54
980,6.6,-0.01,9.33
990,7.04,0.39,9.89
1000,7.39,0.78,10.41
