timestamp,x,y,z
0,0.7,-2.11,9.82
10,0.68,-2.12,9.69
20,0.68,-2.16,9.54
30,0.72,-2.22,9.4
40,0.73,-2.24,9.26
50,0.75,-2.36,9.12
60,0.78,-2.5,9.18
70,0.85,-2.49,9.37
80,0.86,-2.43,9.69
90,0.82,-2.28,10.22
100,0.9,-2.01,10.84
110,0.99,-1.63,11.61
120,0.98,-1.34,12.5
130,1.05,-1.18,13.3
140,1.24,-1.14,14.18
150,1.33,-0.97,15.24
160,1.38,-0.66,16.26
170,1.38,-0.15,17.25
180,1.25,0.17,18.13
190,0.99,0.37,18.6
200,0.92,0.61,18.46
210,1.01,0.76,18.28
220,0.76,1.01,17.62
230,0.63,1.07,17.28
240,0.28,0.86,17.15
250,-0.5,0.64,16.97
260,-1.32,0.44,16.54
270,-2.27,0.24,16.15
280,-3.38,-0.0,15.61
290,-4.52,-0.24,14.82
300,-5.66,-0.4,13.93
310,-6.74,-0.65,13.01
320,-7.56,-0.89,12.02
330,-7.94,-1.05,10.86
340,-7.93,-1.18,9.79
350,-7.73,-1.38,8.75
360,-7.34,-1.59,7.84
370,-6.9,-1.67,7.02
380,-6.57,-1.64,6.29
390,-6.16,-1.65,5.58
400,-5.84,-1.61,5.04
410,-5.35,-1.52,4.24
420,-4.9,-1.51,3.68
430,-4.58,-1.47,3.34
440,-4.06,-1.44,3.03
450,-3.34,-1.38,2.77
460,-2.7,-1.4,2.43
470,-2.17,-1.59,1.9
480,-1.7,-1.93,1.54
490,-1.25,-2.16,1.22
500,-0.67,-2.42,0.97
510,-0.11,-2.62,0.74
520,0.39,-2.87,0.66
530,0.87,-3.22,0.69
540,1.11,-3.27,0.74
550,1.13,-3.3,1.03
560,1.27,-3.22,1.55
570,1.5,-2.97,2.18
580,1.76,-2.58,2.79
590,1.99,-2.19,3.49
600,2.24,-1.85,4.18
610,2.56,-1.47,4.88
620,2.86,-1.14,5.54
630,3.28,-0.76,6.22
640,3.78,-0.31,7.1
650,4.11,0.23,7.99
660,4.57,0.9,9.03
670,4.85,1.52,10.05
680,5.05,2.03,11.04
690,4.99,2.7,12.07
700,5.11,3.11,13.3
710,4.95,3.51,14.38
720,4.83,3.9,15.26
730,4.77,4.36,15.86
740,4.78,4.63,16.22
750,4.82,4.73,16.37
760,4.86,4.7,16.51
770,4.76,4.66,16.64
780,4.52,4.56,16.86
790,4.02,4.41,17.2
800,3.38,4.3,17.55
810,2.72,4.08,17.82
820,2.16,3.71,18.09
830,1.75,3.22,18.1
840,1.43,2.87,17.93
850,1.16,2.48,17.77
860,0.8,2.22,17.69
870,0.26,2.13,17.76
880,-0.28,2.06,18.03
890,-0.95,2.03,18.43
900,-1.55,2.08,18.74
910,-2.08,2.1,18.68
920,-2.44,2.08,18.57
930,-2.77,2.13,18.32
940,-3.16,2.05,17.93
950,-3.19,1.97,17.4
960,-3.1,1.84,16.64
970,-3.04,1.67,15.95
980,-3.28,1.61,15.38
990,-3.62,1.64,15.04
1000,-4.0,1.67,14.86
