timestamp,x,y,z
0,4.38,-0.39,10.34
10,4.53,-0.46,10.44
20,4.66,-0.49,10.65
30,4.78,-0.48,10.98
40,4.87,-0.51,11.24
50,4.98,-0.55,11.43
60,5.09,-0.65,11.62
70,5.28,-0.83,11.87
80,5.46,-0.87,12.13
90,5.57,-0.85,12.6
100,5.63,-0.64,13.14
110,5.58,-0.43,13.68
120,5.51,-0.25,14.09
130,5.46,-0.11,14.54
140,5.34,-0.02,14.92
150,5.06,0.06,15.2
160,4.53,0.17,15.5
170,3.98,0.25,15.75
180,3.46,0.27,15.88
190,2.87,0.31,15.85
200,2.22,0.37,15.69
210,1.53,0.49,15.62
220,0.65,0.57,15.64
230,-0.2,0.62,15.6
240,-0.91,0.63,15.37
250,-1.45,0.57,14.87
260,-1.78,0.48,14.14
270,-2.05,0.36,13.26
280,-2.25,0.18,12.33
290,-2.36,0.01,11.38
300,-2.35,-0.18,10.47
310,-2.46,-0.35,9.48
320,-2.42,-0.54,8.65
330,-2.33,-0.7,7.93
340,-2.36,-0.86,7.28
350,-2.3,-1.0,6.86
360,-2.25,-1.07,6.49
370,-2.21,-1.13,6.08
380,-2.0,-1.19,5.64
390,-1.72,-1.28,5.15
400,-1.46,-1.41,4.71
410,-1.16,-1.6,4.3
420,-0.79,-1.82,3.91
430,-0.42,-1.99,3.49
440,-0.15,-2.22,3.16
450,0.08,-2.37,2.99
460,0.3,-2.48,2.93
470,0.53,-2.47,3.03
480,0.75,-2.46,3.23
490,0.94,-2.46,3.43
500,1.19,-2.45,3.55
510,1.55,-2.4,3.65
520,2.0,-2.26,3.78
530,2.45,-2.12,3.91
540,2.9,-2.01,4.0
550,3.35,-1.88,4.16
560,3.79,-1.78,4.36
570,4.17,-1.69,4.52
580,4.68,-1.54,4.78
590,5.09,-1.31,5.14
600,5.52,-1.15,5.57
610,5.86,-0.97,5.95
620,6.15,-0.85,6.4
630,6.39,-0.78,6.84
640,6.57,-0.58,7.29
650,6.81,-0.28,7.78
660,7.12,0.04,8.21
670,7.49,0.41,8.62
680,7.81,0.65,9.06
690,7.99,0.85,9.56
700,8.13,1.03,10.08
710,8.26,1.33,10.56
720,8.35,1.71,11.2
730,8.45,2.07,11.96
740,8.37,2.39,12.77
750,8.25,2.71,13.55
760,8.17,2.87,14.11
770,7.97,2.85,14.47
780,7.79,2.84,14.8
790,7.68,2.97,15.05
800,7.48,3.06,15.42
810,7.24,3.12,15.95
820,7.0,3.16,16.39
830,6.89,3.29,16.57
840,6.71,3.4,16.65
850,6.46,3.47,16.64
860,6.1,3.5,16.63
870,5.54,3.39,16.64
880,4.91,3.28,16.68
890,4.37,3.28,16.61
900,3.73,3.26,16.56
910,3.07,3.07,16.51
920,2.54,2.91,16.45
930,2.0,2.75,16.39
940,1.69,2.7,16.3
950,1.66,2.46,15.95
960,1.49,2.42,15.51
970,1.26,2.32,15.18
980,0.86,2.31,14.96
990,0.45,2.37,14.71
1000,0.14,2.22,14.68
