timestamp,x,y,z
0,-0.1,-1.47,10.35
10,-0.16,-1.47,10.35
20,-0.19,-1.44,10.34
30,-0.14,-1.43,10.27
40,-0.04,-1.4,10.18
50,0.06,-1.37,10.1
60,0.21,-1.36,10.01
70,0.37,-1.36,9.97
80,0.53,-1.36,10.01
90,0.71,-1.3,10.07
100,0.87,-1.26,10.15
110,1.06,-1.18,10.18
120,1.3,-1.12,10.21
130,1.59,-1.01,10.38
140,1.89,-0.86,10.65
150,2.07,-0.79,10.94
160,2.09,-0.74,11.34
170,2.05,-0.72,11.79
180,2.15,-0.73,12.25
190,2.38,-0.67,12.7
200,2.65,-0.59,13.26
210,2.87,-0.48,13.77
220,3.07,-0.35,14.28
230,2.88,-0.07,14.85
240,2.37,0.16,15.61
250,1.88,0.33,16.3
260,1.37,0.36,16.87
270,0.68,0.29,17.31
280,-0.06,0.19,17.54
290,-0.7,0.11,17.71
300,-1.7,-0.03,17.64
310,-2.85,-0.23,17.48
320,-3.97,-0.37,17.2
330,-4.97,-0.52,16.98
340,-5.91,-0.64,16.76
350,-6.63,-0.76,16.5
360,-7.17,-0.75,16.07
370,-7.44,-0.77,15.36
380,-7.91,-0.75,14.32
390,-7.92,-0.85,13.18
400,-7.82,-0.92,11.96
410,-7.58,-1.1,10.79
420,-7.3,-1.27,9.66
430,-6.89,-1.36,8.6
440,-6.45,-1.45,7.49
450,-5.99,-1.58,6.4
460,-5.24,-1.75,5.38
470,-5.3,-1.86,4.6
480,-4.85,-1.9,3.87
490,-4.7,-2.0,3.31
500,-4.37,-1.98,2.76
510,-4.0,-1.99,2.22
520,-3.53,-2.07,1.56
530,-3.05,-2.21,0.93
540,-2.54,-2.27,0.41
550,-2.04,-2.28,0.07
560,-1.51,-2.27,-0.09
570,-1.04,-2.21,-0.27
580,-0.74,-2.16,-0.35
590,-0.47,-2.19,-0.28
600,-0.24,-2.26,-0.11
610,-0.01,-2.28,0.08
620,0.23,-2.27,0.45
630,0.45,-2.14,0.95
640,0.68,-1.96,1.58
650,0.94,-1.83,2.11
660,1.36,-1.7,2.63
670,1.88,-1.44,3.18
680,2.47,-1.1,3.73
690,3.05,-0.66,4.46
700,3.56,-0.21,5.39
710,3.96,0.28,6.41
720,4.45,0.73,7.69
730,4.66,1.25,9.21
740,4.79,1.78,10.59
750,4.98,2.31,11.7
760,5.09,2.84,12.66
770,5.31,3.24,13.56
780,5.4,3.62,14.47
790,5.36,3.72,15.48
800,5.25,3.79,16.44
810,5.2,3.76,17.04
820,4.91,3.88,17.47
830,4.58,3.96,17.73
840,4.15,3.98,18.01
850,3.66,3.98,18.35
860,3.08,3.76,18.91
870,2.45,3.47,19.34
880,1.79,3.21,19.61
890,1.12,3.0,19.72
900,0.51,2.78,19.56
910,0.13,2.59,19.21
920,-0.1,2.4,18.78
930,-0.33,2.29,18.41
940,-0.74,2.28,18.22
950,-1.39,2.31,18.33
960,-2.17,2.3,18.5
970,-2.87,2.32,18.52
980,-3.4,2.22,18.33
990,-3.93,2.13,18.0
1000,-4.28,2.09,17.67
