timestamp,x,y,z
0,2.48,-0.61,9.25
10,2.61,-0.56,9.11
20,2.69,-0.51,8.88
30,2.77,-0.43,8.63
40,2.82,-0.4,8.44
50,2.83,-0.39,8.23
60,2.77,-0.4,8.04
70,2.75,-0.35,7.88
80,2.82,-0.24,7.75
90,2.89,-0.16,7.64
100,3.04,-0.08,7.54
110,3.25,-0.04,7.47
120,3.5,0.14,7.61
130,3.93,0.48,8.03
140,4.37,0.8,8.5
150,4.92,1.2,8.89
160,5.44,1.58,9.23
170,6.01,1.98,9.56
180,6.48,2.42,10.07
190,7.09,2.9,10.81
200,7.41,3.53,11.68
210,7.69,4.05,12.73
220,7.88,4.64,13.93
230,7.84,5.1,15.27
240,7.65,5.64,16.65
250,7.26,6.22,17.96
260,7.08,6.45,19.05
270,6.64,6.81,19.91
280,6.25,6.91,20.41
290,5.66,6.78,20.58
300,4.77,6.46,20.71
310,3.61,6.21,20.6
320,2.43,5.66,20.42
330,1.35,5.39,20.25
340,0.27,5.11,19.96
350,-0.56,4.91,19.61
360,-1.37,4.71,19.1
370,-1.99,4.44,18.17
380,-2.42,4.05,17.2
390,-2.81,3.71,16.07
400,-3.03,3.28,14.92
410,-3.32,2.98,13.68
420,-3.42,2.53,12.49
430,-3.58,2.08,11.31
440,-3.89,1.62,10.3
450,-4.14,1.19,9.45
460,-4.3,0.84,8.58
470,-4.47,0.46,7.94
480,-4.47,0.25,7.3
490,-4.29,-0.0,6.73
500,-4.0,-0.19,6.0
510,-3.64,-0.42,5.17
520,-3.29,-0.65,4.53
530,-2.92,-0.84,4.09
540,-2.49,-0.94,3.78
550,-2.15,-1.04,3.54
560,-1.86,-1.14,3.41
570,-1.61,-1.23,3.25
580,-1.47,-1.36,3.04
590,-1.23,-1.55,2.81
600,-1.07,-1.66,2.64
610,-0.84,-1.88,2.49
620,-0.52,-2.04,2.41
630,-0.18,-2.17,2.32
640,0.28,-2.22,2.26
650,0.66,-2.29,2.27
660,1.0,-2.15,2.37
670,1.21,-1.96,2.72
680,1.8,-1.71,3.27
690,2.08,-1.45,3.68
700,2.49,-1.28,4.05
710,3.0,-1.18,4.44
720,3.42,-1.11,4.59
730,3.93,-1.03,4.69
740,4.52,-0.92,4.94
750,4.97,-0.75,5.11
760,5.36,-0.5,5.37
770,5.73,-0.26,5.89
780,5.96,0.05,6.41
790,6.18,0.52,7.05
800,6.36,0.92,7.78
810,6.46,1.2,8.44
820,6.54,1.53,8.93
830,6.7,1.73,9.47
840,6.86,2.04,10.01
850,7.0,2.53,10.59
860,7.15,2.97,11.29
870,7.26,3.51,12.04
880,7.3,3.98,12.62
890,7.53,4.12,13.15
900,7.48,4.29,13.75
910,7.36,4.65,14.31
920,7.41,4.99,15.11
930,7.42,5.19,15.86
940,7.52,5.34,16.35
950,7.58,5.34,16.76
960,7.51,5.28,17.02
970,7.38,5.2,17.16
980,7.15,5.09,17.26
990,6.83,4.95,17.31
1000,6.4,4.71,17.29
