timestamp,x,y,z
0,-1.81,-2.77,10.29
10,-1.86,-2.78,10.27
20,-1.95,-2.81,10.16
30,-2.0,-2.82,10.02
40,-2.03,-2.87,9.89
50,-2.08,-2.85,9.84
60,-2.13,-2.81,9.91
70,-2.15,-2.83,9.95
80,-2.16,-2.77,9.86
90,-2.14,-2.79,9.86
100,-2.1,-2.79,9.75
110,-2.05,-2.75,9.55
120,-2.04,-2.75,9.36
130,-1.95,-2.82,9.22
140,-2.04,-2.86,8.97
150,-1.96,-2.83,8.68
160,-2.01,-2.73,8.59
170,-2.08,-2.7,8.56
180,-2.12,-2.63,8.44
190,-2.12,-2.56,8.31
200,-2.09,-2.55,8.19
210,-2.03,-2.56,8.08
220,-1.92,-2.51,7.86
230,-1.79,-2.33,7.62
240,-1.76,-2.08,7.7
250,-1.73,-1.7,8.07
260,-1.7,-1.35,8.56
270,-1.5,-1.1,9.08
280,-1.51,-0.83,9.38
290,-1.19,-0.67,9.4
300,-1.11,-0.53,9.11
310,-0.87,-0.45,9.07
320,-0.63,-0.23,9.22
330,-0.47,0.15,9.7
340,-0.31,0.55,10.28
350,-0.1,0.96,10.83
360,-0.1,1.26,11.24
370,-0.08,1.46,11.6
380,-0.18,1.61,12.14
390,-0.37,1.78,12.85
400,-0.65,1.98,13.61
410,-0.81,2.15,14.4
420,-0.97,2.29,15.14
430,-1.14,2.48,15.7
440,-1.27,2.69,16.11
450,-1.44,2.91,16.53
460,-1.61,3.17,17.03
470,-1.66,3.31,17.57
480,-1.75,3.24,18.14
490,-1.93,3.14,18.55
500,-2.06,3.03,18.75
510,-2.22,2.93,18.68
520,-2.4,2.83,18.55
530,-2.69,2.61,18.34
540,-2.84,2.57,18.14
550,-3.18,2.43,18.01
560,-3.53,2.18,18.05
570,-3.89,1.91,17.81
580,-4.16,1.62,17.35
590,-4.42,1.23,16.74
600,-4.59,0.94,16.11
610,-4.79,0.68,15.29
620,-4.84,0.47,14.36
630,-4.93,0.27,13.48
640,-5.07,0.05,12.64
650,-5.01,-0.15,11.76
660,-4.92,-0.24,10.92
670,-4.8,-0.39,10.13
680,-4.76,-0.62,9.28
690,-4.57,-0.85,8.46
700,-4.51,-1.31,7.6
710,-4.27,-1.54,6.88
720,-4.51,-1.95,6.28
730,-3.7,-2.04,5.4
740,-4.17,-2.42,4.93
750,-3.93,-2.47,4.98
760,-3.4,-2.47,4.57
770,-3.93,-2.73,4.18
780,-3.2,-2.63,4.63
790,-3.37,-2.56,4.09
800,-3.05,-2.42,3.96
810,-2.4,-2.42,3.63
820,-2.42,-2.54,3.33
830,-1.7,-2.48,2.94
840,-1.25,-2.68,2.4
850,-1.26,-2.76,2.09
860,-0.91,-2.75,1.88
870,-0.52,-2.77,1.75
880,-0.47,-2.87,1.89
890,-0.2,-2.88,2.14
900,-0.13,-2.89,2.3
910,0.06,-2.94,2.58
920,0.19,-3.02,2.91
930,0.39,-3.12,3.32
940,0.57,-3.07,3.46
950,0.91,-2.94,3.63
960,1.15,-2.78,3.68
970,1.51,-2.59,3.85
980,1.62,-2.24,4.16
990,1.88,-2.04,4.87
1000,2.2,-1.92,5.77
