timestamp,x,y,z
0,3.21,0.72,9.59
10,3.35,0.79,9.67
20,3.6,0.94,9.72
30,3.87,1.08,9.76
40,4.13,1.18,9.84
50,4.36,1.26,9.97
60,4.53,1.39,10.11
70,4.62,1.61,10.38
80,4.65,1.92,10.78
90,4.65,2.23,11.36
100,4.69,2.46,11.94
110,4.71,2.63,12.37
120,4.73,2.83,12.79
130,4.78,3.09,13.27
140,4.75,3.39,13.79
150,4.63,3.7,14.35
160,4.46,3.99,14.89
170,4.3,4.34,15.54
180,4.19,4.54,16.0
190,3.97,4.76,16.53
200,3.71,4.81,16.8
210,3.37,4.76,16.88
220,3.01,4.66,16.91
230,2.47,4.62,16.99
240,1.8,4.5,17.1
250,1.11,4.35,17.09
260,0.36,4.11,17.08
270,-0.23,3.96,16.87
280,-0.68,3.61,16.44
290,-1.03,3.17,15.67
300,-1.3,2.76,14.82
310,-1.56,2.38,14.03
320,-1.92,1.99,13.42
330,-2.23,1.63,12.88
340,-2.45,1.26,12.11
350,-2.59,0.91,11.24
360,-2.85,0.54,10.34
370,-3.13,0.25,9.78
380,-3.29,-0.01,9.1
390,-3.34,-0.29,8.56
400,-3.51,-0.66,7.85
410,-3.32,-0.94,7.35
420,-3.39,-1.31,6.96
430,-3.14,-1.47,6.32
440,-2.86,-1.53,5.82
450,-2.47,-1.56,5.49
460,-2.21,-1.4,4.91
470,-1.72,-1.58,4.89
480,-2.19,-2.0,4.77
490,-1.76,-2.02,4.3
500,-1.34,-2.1,3.76
510,-1.15,-2.22,3.83
520,-0.94,-2.23,3.97
530,-0.74,-2.29,3.87
540,-0.53,-2.34,3.69
550,-0.29,-2.33,3.49
560,0.01,-2.27,3.38
570,0.33,-2.13,3.43
580,0.62,-1.95,3.62
590,0.93,-1.81,3.83
600,1.24,-1.63,4.12
610,1.48,-1.46,4.36
620,1.72,-1.33,4.54
630,2.0,-1.23,4.69
640,2.19,-1.22,4.75
650,2.41,-1.15,4.69
660,2.68,-1.04,4.66
670,2.85,-1.0,4.7
680,3.44,-0.53,4.72
690,3.92,-0.23,4.91
700,4.23,0.04,5.24
710,4.52,0.33,5.44
720,4.65,0.58,5.63
730,4.89,0.94,5.94
740,5.17,1.26,6.15
750,5.43,1.5,6.37
760,5.71,1.86,6.71
770,5.96,2.37,7.3
780,6.27,2.86,7.83
790,6.45,3.33,8.2
800,6.72,3.9,8.82
810,6.98,4.25,9.11
820,7.22,4.46,9.5
830,7.17,4.75,10.13
840,7.39,5.37,10.97
850,7.4,6.0,11.76
860,7.45,6.64,12.54
870,7.57,7.18,13.2
880,7.41,7.56,14.08
890,7.24,7.82,14.77
900,7.07,8.1,15.51
910,6.95,8.38,16.23
920,6.86,8.55,16.53
930,6.84,8.59,16.62
940,6.69,8.4,16.84
950,6.23,8.15,17.2
960,5.58,7.82,17.56
970,5.02,7.5,17.77
980,4.53,7.18,17.77
990,4.21,6.85,17.53
1000,3.93,6.56,17.21
