timestamp,x,y,z
0,2.74,0.41,9.96
10,2.76,0.37,9.92
20,2.81,0.35,9.85
30,2.88,0.41,9.78
40,3.03,0.45,9.68
50,3.19,0.45,9.59
60,3.35,0.47,9.58
70,3.51,0.5,9.6
80,3.67,0.61,9.75
90,3.85,0.71,9.99
100,4.06,0.79,10.23
110,4.3,0.88,10.52
120,4.54,0.95,10.89
130,4.84,1.0,11.31
140,5.13,1.07,11.88
150,5.37,1.23,12.51
160,5.47,1.47,13.25
170,5.43,1.73,13.97
180,5.52,2.01,14.56
190,5.33,2.19,15.13
200,5.13,2.32,15.55
210,4.87,2.43,15.91
220,4.54,2.46,16.24
230,4.13,2.45,16.42
240,3.64,2.39,16.55
250,3.03,2.35,16.74
260,2.38,2.29,16.8
270,1.67,2.22,16.8
280,0.88,2.11,16.77
290,0.12,2.05,16.71
300,-0.48,2.07,16.62
310,-1.26,2.04,16.46
320,-1.69,1.91,16.11
330,-2.02,1.73,15.39
340,-2.15,1.51,14.43
350,-2.25,1.3,13.47
360,-2.4,1.05,12.59
370,-2.58,0.85,11.98
380,-2.78,0.64,11.44
390,-2.83,0.43,10.77
400,-3.01,0.3,10.16
410,-2.97,0.18,9.55
420,-3.0,0.07,9.09
430,-3.05,-0.09,8.49
440,-2.91,-0.3,7.85
450,-2.72,-0.51,7.02
460,-2.48,-0.79,6.16
470,-2.21,-1.09,5.34
480,-2.01,-1.38,4.76
490,-1.94,-1.64,4.37
500,-1.89,-1.88,4.02
510,-1.82,-2.11,3.61
520,-1.67,-2.28,3.18
530,-1.44,-2.41,2.78
540,-1.08,-2.48,2.45
550,-0.76,-2.58,2.19
560,-0.47,-2.61,2.01
570,-0.28,-2.7,2.02
580,-0.08,-2.75,2.03
590,0.07,-2.79,2.09
600,0.29,-2.77,2.18
610,0.56,-2.63,2.37
620,0.84,-2.47,2.61
630,1.19,-2.31,2.95
640,1.55,-2.19,3.19
650,2.05,-1.99,3.42
660,2.55,-1.83,3.74
670,3.06,-1.72,4.11
680,3.58,-1.63,4.35
690,4.06,-1.57,4.52
700,4.58,-1.42,4.87
710,4.9,-1.24,5.36
720,5.27,-0.85,6.0
730,5.6,-0.41,6.69
740,6.07,0.11,7.33
750,6.37,0.49,7.91
760,6.63,0.8,8.41
770,7.12,1.24,8.88
780,7.32,1.68,9.22
790,7.58,2.25,9.6
800,7.79,2.66,10.08
810,7.79,2.89,10.55
820,7.87,3.17,11.04
830,7.68,3.37,11.62
840,7.56,3.6,12.22
850,7.51,3.76,12.59
860,7.47,4.0,12.8
870,7.5,4.3,13.11
880,7.46,4.47,13.56
890,7.37,4.62,14.17
900,7.22,4.69,14.64
910,6.99,4.75,14.96
920,6.77,4.8,15.36
930,6.44,4.78,15.61
940,6.28,4.84,15.92
950,5.8,4.92,16.19
960,5.45,5.07,16.58
970,5.04,5.19,16.85
980,4.79,5.28,17.06
990,4.61,5.38,17.14
1000,4.45,5.49,17.16
